Plot ID,Job Title,Role Segment,Scope Tier,Cluster
J01,AI Solution Architect/Senior AI Solution Architect (Post-Sales),AI Technical Role,Adjacent,AI/ML Architecture
J02,"Senior Architect, Data Analytics /AI-ML",Machine Learning Technical Role,Adjacent,AI/ML Architecture
J03,"Senior Data Science Analyst, Customer Success Analytics & Operations",Data Science Adjacent Role,Adjacent,Analytics and Data
J04,"Senior Data Science Analyst, Customer Success Analytics & Operations",Data Science Adjacent Role,Adjacent,Analytics and Data
J05,"Sr. Enterprise Architect, AI",AI Technical Role,Adjacent,AI/ML Architecture
J06,"Sr. Enterprise Architect, AI",AI Technical Role,Adjacent,AI/ML Architecture
J07,Data Scientist/Data Analyst,Data Scientist,Core,Analytics and Data
J08,AI Solution Architect/Senior AI Solution Architect (Post-Sales),AI Technical Role,Adjacent,AI/ML Architecture
J09,Senior Applied Scientist,Applied or Decision Scientist,Adjacent,AI/ML Architecture
J10,"Senior Analytics Engineer, GTM San Francisco, CA",Analytics Engineer,Adjacent,Analytics and Data
